sampleid,popcode,suppopcode
NA20521,TSI,EUR
SC_GMJOL5309977,GWJ,AFR
NA18626,CHB,EAS
NA20792,TSI,EUR
SC_GMJOL5309819,GWJ,AFR
NA18633,CHB,EAS
NA20797,TSI,EUR
SC_GMJOL5309883,GWJ,AFR
NA18638,CHB,EAS
NA20800,TSI,EUR
SC_GMFUL5306432,GWF,AFR
NA18640,CHB,EAS
NA20805,TSI,EUR
SC_GMFUL5306348,GWF,AFR
NA18645,CHB,EAS
NA20812,TSI,EUR
SC_GMFUL5309789,GWF,AFR
NA18791,CHB,EAS
NA20829,TSI,EUR
SC_GMFUL5309710,GWF,AFR
NA18854,YRI,AFR
NA20831,TSI,EUR
SC_GMFUL5309703,GWF,AFR
NA18859,YRI,AFR
NA20850,GIH,SAS
SC_GMFUL5306420,GWF,AFR
NA18861,YRI,AFR
NA21125,GIH,SAS
SC_GMJOL5309972,GWJ,AFR
NA12248,CEU,EUR
NA21137,GIH,SAS
SC_GMFUL5306343,GWF,AFR
NA12274,CEU,EUR
NA21144,GIH,SAS
SC_GMFUL5306367,GWF,AFR
NA12286,CEU,EUR
SC_GMJOL5309898,GWJ,AFR
SC_GMFUL5306355,GWF,AFR
NA12344,CEU,EUR
SC_GMJOL5309906,GWJ,AFR
SC_GMFUL5309708,GWF,AFR
NA12375,CEU,EUR
NA20285,ASW,AFR
SC_GMFUL5306379,GWF,AFR
NA12399,CEU,EUR
NA20292,ASW,AFR
SC_GMFUL5309741,GWF,AFR
NA12414,CEU,EUR
NA20297,ASW,AFR
SC_GMJOL5309960,GWJ,AFR
NA12546,CEU,EUR
NA20300,ASW,AFR
SC_GMJOL5309984,GWJ,AFR
NA12717,CEU,EUR
NA20312,ASW,AFR
SC_GMMAN5482316,GWD,AFR
NA12748,CEU,EUR
NA20317,ASW,AFR
SC_GMMAN5482309,GWD,AFR
NA12750,CEU,EUR
NA20336,ASW,AFR
NA18524,CHB,EAS
NA12762,CEU,EUR
NA20862,GIH,SAS
NA18529,CHB,EAS
NA18506,YRI,AFR
NA20867,GIH,SAS
HGDP00001,,
NA18518,YRI,AFR
NA20874,GIH,SAS
SC_GMWOF5428724,GWW,AFR
NA18520,YRI,AFR
NA20879,GIH,SAS
SC_GMWOF5428748,GWW,AFR
NA18525,CHB,EAS
NA20881,GIH,SAS
SC_GMWOF5428736,GWW,AFR
NA18532,CHB,EAS
NA20886,GIH,SAS
SC_GMWOF5428705,GWW,AFR
NA18537,CHB,EAS
NA20893,GIH,SAS
SC_GMWOF5428729,GWW,AFR
NA18544,CHB,EAS
NA20898,GIH,SAS
SC_GMWOF5428786,GWW,AFR
NA18549,CHB,EAS
NA20901,GIH,SAS
SC_GMWOF5428818,GWW,AFR
NA18563,CHB,EAS
NA20906,GIH,SAS
SC_GMMAN5482234,GWD,AFR
NA18570,CHB,EAS
NA21086,GIH,SAS
SC_GMMAN5482171,GWD,AFR
NA18582,CHB,EAS
NA21093,GIH,SAS
SC_GMMAN5482241,GWD,AFR
NA12767,CEU,EUR
NA21098,GIH,SAS
SC_GMMAN5482195,GWD,AFR
NA12801,CEU,EUR
NA21101,GIH,SAS
SC_GMMAN5482203,GWD,AFR
NA12813,CEU,EUR
NA21106,GIH,SAS
SC_GMMAN5482227,GWD,AFR
NA12818,CEU,EUR
NA21113,GIH,SAS
SC_GMMAN5482258,GWD,AFR
NA12832,CEU,EUR
NA21118,GIH,SAS
SC_GMMAN5482291,GWD,AFR
NA12875,CEU,EUR
NA21120,GIH,SAS
SC_GMMAN5482323,GWD,AFR
NA18486,YRI,AFR
SC_GMFUL5309718,GWF,AFR
SC_GMMAN5482260,GWD,AFR
NA18498,YRI,AFR
SC_GMFUL5306377,GWF,AFR
SC_GMMAN5482284,GWD,AFR
NA18501,YRI,AFR
SC_GMFUL5306396,GWF,AFR
SC_GMWOF5428863,GWW,AFR
NA10855,CEU,EUR
SC_GMFUL5306404,GWF,AFR
SC_GMWOF5428832,GWW,AFR
NA11839,CEU,EUR
SC_GMFUL5306428,GWF,AFR
SC_GMWOF5428825,GWW,AFR
NA11891,CEU,EUR
SC_GMFUL5306341,GWF,AFR
SC_GMWOF5428849,GWW,AFR
NA11930,CEU,EUR
SC_GMJOL5309963,GWJ,AFR
SC_GMWOF5428882,GWW,AFR
NA11992,CEU,EUR
SC_GMFUL5306360,GWF,AFR
SC_GMMAN5482239,GWD,AFR
NA12003,CEU,EUR
SC_GMFUL5309763,GWF,AFR
SC_GMMAN5482176,GWD,AFR
NA12046,CEU,EUR
SC_GMFUL5306339,GWF,AFR
SC_GMMAN5482208,GWD,AFR
NA12058,CEU,EUR
SC_GMFUL5309756,GWF,AFR
SC_GMMAN5482169,GWD,AFR
NA12154,CEU,EUR
SC_GMFUL5309701,GWF,AFR
SC_GMWOF5428820,GWW,AFR
NA07345,CEU,EUR
SC_GMJOL5309951,GWJ,AFR
SC_GMWOF5428813,GWW,AFR
NA07357,CEU,EUR
SC_GMJOL5309975,GWJ,AFR
SC_GMWOF5428798,GWW,AFR
NA10831,CEU,EUR
SC_GMJOL5309920,GWJ,AFR
SC_GMWOF5428806,GWW,AFR
NA10836,CEU,EUR
SC_GMJOL5309944,GWJ,AFR
SC_GMMAN5482164,GWD,AFR
NA10843,CEU,EUR
SC_GMJOL5309968,GWJ,AFR
SC_GMMAN5482215,GWD,AFR
NA10850,CEU,EUR
SC_GMJOL5309812,GWJ,AFR
SC_GMWOF5428851,GWW,AFR
HG04302,GBR,EUR
SC_GMJOL5309836,GWJ,AFR
SC_GMWOF5428875,GWW,AFR
NA06986,CEU,EUR
SC_GMJOL5309797,GWJ,AFR
HGDP00392,,
NA06993,CEU,EUR
SC_GMJOL5309805,GWJ,AFR
HGDP00397,,
NA07340,CEU,EUR
SC_GMJOL5309829,GWJ,AFR
HGDP00412,,
HG04162,BEB,SAS
SC_GMJOL5309956,GWJ,AFR
HGDP00417,,
HG04174,BEB,SAS
SC_GMJOL5309925,GWJ,AFR
HGDP00450,,
HG04181,BEB,SAS
SC_GMJOL5309949,GWJ,AFR
HGDP00455,,
HG04186,BEB,SAS
SC_GMJOL5309918,GWJ,AFR
HGDP00462,,
HG04193,BEB,SAS
SC_GMJOL5309982,GWJ,AFR
HGDP00467,,
HG04198,ITU,SAS
SC_GMFUL5309725,GWF,AFR
HGDP00479,,
HG04206,ITU,SAS
SC_GMFUL5306416,GWF,AFR
HGDP00513,,
HG04225,ITU,SAS
SC_GMFUL5306411,GWF,AFR
HGDP00518,,
NA19023,LWK,AFR
SC_GMFUL5306353,GWF,AFR
HGDP00234,,
NA19028,LWK,AFR
SC_GMJOL5309913,GWJ,AFR
HGDP00239,,
NA19030,LWK,AFR
SC_GMJOL5309937,GWJ,AFR
HGDP00241,,
NA19035,LWK,AFR
SC_GMJOL5309843,GWJ,AFR
HGDP00258,,
NA19042,LWK,AFR
SC_GMJOL5309867,GWJ,AFR
HGDP00277,,
NA19054,JPT,EAS
SC_GMFUL5306391,GWF,AFR
HGDP00304,,
NA19059,JPT,EAS
SC_GMFUL5306423,GWF,AFR
HGDP00309,,
NA19066,JPT,EAS
SC_GMFUL5306346,GWF,AFR
HGDP00311,,
NA19078,JPT,EAS
SC_GMFUL5306389,GWF,AFR
HGDP00323,,
NA19080,JPT,EAS
SC_GMMAN5482332,GWD,AFR
HGDP00330,,
NA19085,JPT,EAS
SC_GMMAN5482293,GWD,AFR
HGDP00359,,
NA19092,YRI,AFR
SC_GMMAN5482301,GWD,AFR
HGDP00068,,
NA19472,LWK,AFR
NA18540,CHB,EAS
HGDP00070,,
NA19648,MXL,AMR
HGDP00003,,
HGDP00082,,
NA19650,MXL,AMR
SC_GMMAN5482243,GWD,AFR
HGDP00094,,
NA19655,MXL,AMR
SC_GMMAN5482180,GWD,AFR
HGDP00099,,
NA19662,MXL,AMR
SC_GMMAN5482212,GWD,AFR
HGDP00102,,
NA19674,MXL,AMR
SC_GMMAN5482236,GWD,AFR
HGDP00013,,
NA19679,MXL,AMR
SC_GMMAN5482173,GWD,AFR
HGDP00025,,
NA19681,MXL,AMR
SC_GMMAN5482197,GWD,AFR
HGDP00037,,
NA19686,MXL,AMR
SC_GMMAN5482205,GWD,AFR
HGDP00049,,
NA19701,ASW,AFR
SC_GMMAN5482229,GWD,AFR
HGDP00056,,
NA19352,LWK,AFR
SC_GMMAN5482231,GWD,AFR
HGDP00183,,
NA19371,LWK,AFR
SC_GMMAN5482255,GWD,AFR
HGDP00210,,
NA19376,LWK,AFR
SC_GMMAN5482192,GWD,AFR
HGDP00222,,
NA19383,LWK,AFR
SC_GMMAN5482200,GWD,AFR
HGDP00140,,
NA19390,LWK,AFR
SC_GMMAN5482224,GWD,AFR
HGDP00145,,
NA19395,LWK,AFR
SC_GMMAN5482248,GWD,AFR
HGDP00169,,
NA19403,LWK,AFR
SC_GMWOF5428859,GWW,AFR
HGDP00171,,
NA19434,LWK,AFR
SC_GMWOF5428796,GWW,AFR
HGDP00119,,
NA19439,LWK,AFR
SC_GMWOF5428804,GWW,AFR
HGDP00121,,
NA19446,LWK,AFR
SC_GMWOF5428828,GWW,AFR
HGDP00133,,
NA19453,LWK,AFR
SC_GMWOF5428789,GWW,AFR
HGDP00549,,
NA18948,JPT,EAS
SC_GMWOF5428861,GWW,AFR
HGDP00551,,
NA18950,JPT,EAS
SC_GMMAN5482185,GWD,AFR
HGDP00556,,
NA18955,JPT,EAS
SC_GMMAN5482217,GWD,AFR
HGDP00563,,
NA18962,JPT,EAS
SC_GMMAN5482274,GWD,AFR
HGDP00568,,
NA18967,JPT,EAS
SC_GMMAN5482298,GWD,AFR
HGDP00683,,
NA18974,JPT,EAS
SC_GMMAN5482306,GWD,AFR
HGDP00688,,
NA18979,JPT,EAS
SC_GMWOF5428830,GWW,AFR
HGDP00690,,
NA18981,JPT,EAS
SC_GMWOF5428854,GWW,AFR
HGDP00703,,
NA18986,JPT,EAS
SC_GMWOF5428823,GWW,AFR
HGDP00708,,
NA18993,JPT,EAS
SC_GMWOF5428847,GWW,AFR
HGDP00710,,
NA18998,JPT,EAS
SC_GMWOF5428816,GWW,AFR
HGDP00715,,
NA19004,JPT,EAS
SC_GMWOF5428842,GWW,AFR
HGDP00727,,
NA19009,JPT,EAS
SC_GMWOF5428866,GWW,AFR
HGDP00734,,
NA19011,JPT,EAS
SC_GMWOF5428811,GWW,AFR
HGDP00739,,
NA19213,YRI,AFR
SC_GMWOF5428835,GWW,AFR
HGDP00741,,
NA19225,YRI,AFR
SC_GMWOF5428873,GWW,AFR
HGDP00746,,
NA19237,YRI,AFR
SC_GMMAN5482178,GWD,AFR
HGDP00753,,
NA19249,YRI,AFR
SC_GMMAN5482250,GWD,AFR
HGDP00758,,
NA19256,YRI,AFR
SC_GMWOF5428715,GWW,AFR
HGDP00760,,
NA19307,LWK,AFR
SC_GMWOF5428739,GWW,AFR
HGDP00765,,
NA19314,LWK,AFR
SC_GMWOF5428708,GWW,AFR
HGDP00664,,
NA19319,LWK,AFR
HGDP00464,,
HGDP00669,,
NA19321,LWK,AFR
HGDP00469,,
HGDP00671,,
NA19338,LWK,AFR
HGDP00471,,
HGDP00676,,
NA19713,ASW,AFR
HGDP00490,,
HGDP00602,,
NA19718,MXL,AMR
HGDP00515,,
HGDP00607,,
NA19720,MXL,AMR
HGDP00382,,
HGDP00614,,
NA19725,MXL,AMR
HGDP00402,,
HGDP00619,,
NA19732,MXL,AMR
HGDP00407,,
HGDP00621,,
NA19737,MXL,AMR
HGDP00433,,
HGDP00626,,
NA19749,MXL,AMR
HGDP00438,,
HGDP00520,,
NA19751,MXL,AMR
HGDP00445,,
HGDP00525,,
NA19756,MXL,AMR
HGDP00452,,
HGDP00537,,
NA19143,YRI,AFR
HGDP00243,,
HGDP00544,,
NA19148,YRI,AFR
HGDP00248,,
HGDP00575,,
NA19150,YRI,AFR
HGDP00262,,
HGDP00582,,
NA19174,YRI,AFR
HGDP00274,,
HGDP00587,,
NA19186,YRI,AFR
HGDP00279,,
HGDP00594,,
NA19198,YRI,AFR
HGDP00281,,
HGDP00599,,
NA19201,YRI,AFR
HGDP00173,,
HGDP00638,,
NA19206,YRI,AFR
HGDP00185,,
HGDP00640,,
NA18873,YRI,AFR
HGDP00192,,
HGDP00645,,
NA18878,YRI,AFR
HGDP00197,,
HGDP00981,,
NA18912,YRI,AFR
HGDP00205,,
HGDP00986,,
NA18917,YRI,AFR
HGDP00224,,
HGDP00993,,
NA18924,YRI,AFR
HGDP00298,,
HGDP01009,,
NA18943,JPT,EAS
HGDP00313,,
HGDP01023,,
NA19097,YRI,AFR
HGDP00351,,
HGDP00823,,
NA19100,YRI,AFR
HGDP00356,,
HGDP00828,,
NA19105,YRI,AFR
HGDP00104,,
HGDP00854,,
NA19117,YRI,AFR
HGDP00109,,
HGDP00859,,
NA19129,YRI,AFR
HGDP00130,,
HGDP00861,,
NA19131,YRI,AFR
HGDP00135,,
HGDP00929,,
NA20359,ASW,AFR
HGDP00154,,
HGDP00931,,
NA20361,ASW,AFR
HGDP00161,,
HGDP00943,,
NA20412,ASW,AFR
HGDP00060,,
HGDP00948,,
NA20506,TSI,EUR
HGDP00072,,
HGDP00950,,
NA20513,TSI,EUR
HGDP00096,,
HGDP00900,,
NA20518,TSI,EUR
HGDP00015,,
HGDP00905,,
NA20520,TSI,EUR
HGDP00039,,
HGDP00912,,
NA20525,TSI,EUR
HGDP00041,,
HGDP00917,,
NA20532,TSI,EUR
HGDP00546,,
HGDP00924,,
NA20537,TSI,EUR
HGDP00553,,
HGDP00955,,
NA20544,TSI,EUR
HGDP00558,,
HGDP00962,,
NA20582,TSI,EUR
HGDP00560,,
HGDP00967,,
NA20587,TSI,EUR
HGDP00565,,
HGDP00974,,
NA20753,TSI,EUR
HGDP00522,,
HGDP00873,,
NA20758,TSI,EUR
HGDP00527,,
HGDP00880,,
NA20760,TSI,EUR
HGDP00534,,
HGDP00885,,
NA20765,TSI,EUR
HGDP00539,,
HGDP00892,,
NA20772,TSI,EUR
HGDP00541,,
HGDP00897,,
NA20796,TSI,EUR
HGDP00712,,
HGDP00772,,
NA20804,TSI,EUR
HGDP00724,,
HGDP00777,,
NA20809,TSI,EUR
HGDP00729,,
HGDP00784,,
NA20811,TSI,EUR
HGDP00731,,
HGDP00791,,
NA20816,TSI,EUR
HGDP00654,,
HGDP00804,,
NA19763,MXL,AMR
HGDP00661,,
HGDP00811,,
NA19770,MXL,AMR
HGDP00666,,
HGDP01059,,
NA19775,MXL,AMR
HGDP00673,,
HGDP01066,,
NA19782,MXL,AMR
HGDP00736,,
HGDP01275,,
NA19787,MXL,AMR
HGDP00748,,
HGDP01282,,
NA19794,MXL,AMR
HGDP00750,,
HGDP01287,,
NA19819,ASW,AFR
HGDP00755,,
HGDP01294,,
NA19908,ASW,AFR
HGDP00762,,
HGDP01299,,
NA19915,ASW,AFR
HGDP00678,,
HGDP01155,,
NA19922,ASW,AFR
HGDP00680,,
HGDP01162,,
NA19984,ASW,AFR
HGDP00685,,
HGDP01167,,
NA20126,ASW,AFR
HGDP00692,,
HGDP01174,,
NA20277,ASW,AFR
HGDP00697,,
HGDP01181,,
NA20284,ASW,AFR
HGDP00700,,
HGDP01186,,
NA20289,ASW,AFR
HGDP00604,,
HGDP01218,,
NA20291,ASW,AFR
HGDP00609,,
HGDP01220,,
NA20296,ASW,AFR
HGDP00611,,
HGDP01225,,
NA20828,TSI,EUR
HGDP00623,,
HGDP01232,,
NA20847,GIH,SAS
HGDP00628,,
HGDP01237,,
NA20854,GIH,SAS
HGDP00630,,
HGDP01244,,
NA20859,GIH,SAS
HGDP00635,,
HGDP01249,,
NA20861,GIH,SAS
HGDP00642,,
HGDP01251,,
NA20866,GIH,SAS
HGDP00647,,
HGDP01256,,
NA20316,ASW,AFR
HGDP00572,,
HGDP01263,,
NA20335,ASW,AFR
HGDP00577,,
HGDP01268,,
NA20342,ASW,AFR
HGDP00584,,
HGDP01270,,
NA20347,ASW,AFR
HGDP00591,,
HGDP01193,,
NA20892,GIH,SAS
HGDP00976,,
HGDP01201,,
NA20897,GIH,SAS
HGDP00983,,
HGDP01206,,
NA20900,GIH,SAS
HGDP00995,,
HGDP01213,,
NA20905,GIH,SAS
HGDP01001,,
HGDP01073,,
NA21092,GIH,SAS
HGDP01006,,
HGDP01092,,
NA21097,GIH,SAS
HGDP01013,,
HGDP01097,,
NA21100,GIH,SAS
HGDP00832,,
HGDP01100,,
NA21105,GIH,SAS
HGDP00837,,
HGDP01369,,
NA20873,GIH,SAS
HGDP00849,,
HGDP01371,,
NA20878,GIH,SAS
HGDP00856,,
HGDP01376,,
NA20885,GIH,SAS
HGDP00863,,
HGDP01383,,
NA21143,GIH,SAS
HGDP00868,,
HGDP01388,,
SC_GMFUL5306354,GWF,AFR
HGDP00952,,
HGDP01302,,
SC_GMJOL5309914,GWJ,AFR
HGDP00957,,
HGDP01319,,
SC_GMJOL5309899,GWJ,AFR
HGDP00964,,
HGDP01321,,
SC_GMJOL5309907,GWJ,AFR
HGDP00969,,
HGDP01326,,
SC_GMFUL5306378,GWF,AFR
HGDP00971,,
HGDP01340,,
SC_GMFUL5306397,GWF,AFR
HGDP00899,,
HGDP01352,,
SC_GMFUL5306405,GWF,AFR
HGDP00902,,
HGDP01357,,
SC_GMFUL5306429,GWF,AFR
HGDP00907,,
HGDP00936,,
SC_GMFUL5309738,GWF,AFR
HGDP00914,,
Kor82,,
SC_GMFUL5306366,GWF,AFR
HGDP00919,,
CHI-034,,
SC_GMFUL5309719,GWF,AFR
HGDP00767,,
NA17386,,
SC_GMFUL5306412,GWF,AFR
HGDP00774,,
HGDP01028,,
SC_GMJOL5309971,GWJ,AFR
HGDP00779,,
HGDP00208,,
SC_GMJOL5309940,GWJ,AFR
HGDP00781,,
IraqiJew1771,,
SC_GMJOL5309964,GWJ,AFR
HGDP00786,,
Nesk_25,,
SC_GMFUL5309764,GWF,AFR
HGDP00926,,
NA21490,MKK,
SC_GMFUL5306392,GWF,AFR
HGDP00933,,
HGDP01078,,
SC_GMFUL5306400,GWF,AFR
HGDP00938,,
HGDP01035,,
SC_GMFUL5309733,GWF,AFR
HGDP00940,,
SA0722,,
SC_GMFUL5306424,GWF,AFR
HGDP00945,,
Nlk3,,
SC_GMFUL5306361,GWF,AFR
HGDP01037,,
mg27,,
SC_GMFUL5309702,GWF,AFR
HGDP01051,,
ALB212,,
SC_GMFUL5306385,GWF,AFR
HGDP01056,,
HGDP01403,,
SC_GMJOL5309933,GWJ,AFR
HGDP01063,,
HGDP01408,,
SC_GMJOL5309957,GWJ,AFR
HGDP00806,,
HGDP01415,,
SC_GMJOL5309926,GWJ,AFR
HGDP00813,,
HGDP01333,,
SC_GMJOL5309919,GWJ,AFR
HGDP00818,,
HGDP00157,,
SC_GMJOL5309983,GWJ,AFR
HGDP00820,,
HGDP01338,,
SC_GMJOL5309952,GWJ,AFR
HGDP00870,,
SAH41,,
SC_GMJOL5309976,GWJ,AFR
HGDP00875,,
HGDP00796,,
SC_GMJOL5309921,GWJ,AFR
HGDP00882,,
HGDP01047,,
NA21112,GIH,SAS
HGDP00894,,
HGDP00722,,
NA21117,GIH,SAS
HGDP01068,,
HGDP01314,,
NA21124,GIH,SAS
HGDP01070,,
HGDP00328,,
NA21129,GIH,SAS
HGDP01075,,
NA15203,,
SC_GMFUL5306359,GWF,AFR
HGDP01087,,
mixa0105,,
SC_GMFUL5306431,GWF,AFR
HGDP01094,,
lez49,,
SC_GMFUL5306347,GWF,AFR
HGDP01099,,
abh100,,
SC_GMJOL5309844,GWJ,AFR
HGDP01102,,
AV-21,,
SC_GMJOL5309868,GWJ,AFR
HGDP01272,,
iran17,,
SC_GMJOL5309813,GWJ,AFR
HGDP01277,,
zapo0099,,
SC_GMJOL5309837,GWJ,AFR
HGDP01289,,
Bu5,,
SC_GMWOF5428778,GWW,AFR
HGDP01291,,
HGDP00195,,
SC_GMWOF5428723,GWW,AFR
HGDP01296,,
HGDP01364,,
SC_GMWOF5428747,GWW,AFR
HGDP01152,,
HGDP01345,,
SC_GMWOF5428831,GWW,AFR
HGDP01157,,
HGDP00474,,
SC_GMWOF5428855,GWW,AFR
HGDP01164,,
DNK05,,
SC_GMWOF5428879,GWW,AFR
HGDP01169,,
ch113,,
SC_GMWOF5428792,GWW,AFR
HGDP01171,,
NA11201,,
SC_GMWOF5428800,GWW,AFR
HGDP01183,,
Jordan445,,
SC_GMWOF5428824,GWW,AFR
HGDP01304,,
SA0342,,
SC_GMWOF5428817,GWW,AFR
HGDP01309,,
HGDP01030,,
SC_GMMAN5482172,GWD,AFR
HGDP01311,,
NA17374,,
SC_GMMAN5482228,GWD,AFR
HGDP01316,,
Bishkek28439,,
SC_GMMAN5482165,GWD,AFR
HGDP01328,,
HGDP01198,,
SC_GMMAN5482189,GWD,AFR
HGDP01330,,
Kayseri23827,,
SC_GMMAN5482191,GWD,AFR
HGDP01366,,
HGDP01179,,
SC_GMMAN5482223,GWD,AFR
HGDP01373,,
GM19320,LWK,AFR
SC_GMJOL5309945,GWJ,AFR
HGDP01378,,
SC_GMJOL5309969,GWJ,AFR
HGDP01380,,
SC_GMJOL5309851,GWJ,AFR
HGDP01385,,
SC_GMJOL5309875,GWJ,AFR
HGDP01222,,
SC_GMJOL5309820,GWJ,AFR
HGDP01227,,
SC_GMMAN5482247,GWD,AFR
HGDP01234,,
SC_GMMAN5482184,GWD,AFR
HGDP01239,,
SC_GMMAN5482216,GWD,AFR
HGDP01241,,
SC_GMMAN5482177,GWD,AFR
HGDP01342,,
SC_GMMAN5482209,GWD,AFR
HGDP01347,,
SC_GMWOF5428906,GWW,AFR
HGDP01354,,
SC_GMMAN5482242,GWD,AFR
HGDP01359,,
SC_GMMAN5482211,GWD,AFR
HGDP01361,,
SC_GMMAN5482235,GWD,AFR
HGDP01258,,
SC_GMWOF5428812,GWW,AFR
HGDP01260,,
SC_GMWOF5428797,GWW,AFR
HGDP01265,,
SC_GMWOF5428805,GWW,AFR
HGDP01190,,
SC_GMWOF5428829,GWW,AFR
HGDP01195,,
SC_GMWOF5428850,GWW,AFR
HGDP01208,,
SC_GMWOF5428874,GWW,AFR
HGDP01188,,
SC_GMWOF5428843,GWW,AFR
Kusunda02,,
SC_GMWOF5428867,GWW,AFR
HGDP01203,,
SC_GMWOF5428716,GWW,AFR
Sir19,,
SC_GMWOF5428728,GWW,AFR
Igor20,,
SC_GMMAN5482292,GWD,AFR
HGDP00058,,
SC_GMMAN5482300,GWD,AFR
Nesk_22,,
SC_GMMAN5482324,GWD,AFR
HGDP01018,,
SC_GMMAN5482348,GWD,AFR
HGDP01246,,
SC_GMMAN5482285,GWD,AFR
HGDP01335,,
NA18594,CHB,EAS
HGDP01032,,
HGDP00007,,
I1,,
SC_GMMAN5482266,GWD,AFR
HGDP00027,,
HGDP00108,,
HGDP01417,,
HGDP00110,,
Ayodo_81S,,
HGDP00115,,
NA21581,MKK,
HGDP00122,,
Jordan214,,
HGDP00127,,
Mansi41,,
HGDP00134,,
HGDP00798,,
HGDP00139,,
NorthOssetia12,,
HGDP00141,,
HGDP00616,,
HGDP00146,,
HGDP00887,,
HGDP00153,,
Sir26,,
HGDP00158,,
HGDP00286,,
HGDP00165,,
HGDP01323,,
HGDP00247,,
Ale32,,
HGDP00254,,
DNK07,,
HGDP00259,,
HGDP00457,,
HGDP00285,,
HGDP01044,,
HGDP00021,,
M4,,
HGDP00033,,
Ayodo_502C,,
HGDP00045,,
Ale20,,
HGDP00052,,
HGDP01397,,
HGDP00057,,
HGDP01400,,
HGDP00177,,
HGDP01405,,
HGDP00189,,
HGDP01412,,
HGDP00191,,
mg31,,
HGDP00228,,
Utsa21,,
HGDP00230,,
HGDP01253,,
HGDP00064,,
HGDP00476,,
HGDP00076,,
HGDP01215,,
HGDP00088,,
Kayseri24424,,
HGDP00103,,
Sir40,,
HGDP00444,,
Tuba9,,
HGDP00463,,
Y8,,
HGDP00519,,
HGDP00717,,
HGDP00538,,
Dus16,,
HGDP00540,,
tdj430_shugnan,,
HGDP00545,,
SAH31,,
HGDP00711,,
B11,,
HGDP00716,,
YemeniteJew4695,,
HGDP00723,,
GM20355,ASW,AFR
HGDP00730,,
HGDP00735,,
HGDP00468,,
HGDP00470,,
HGDP00475,,
HGDP00514,,
HGDP00684,,
HGDP00689,,
HGDP00691,,
HGDP00696,,
HGDP00704,,
HGDP00653,,
HGDP00672,,
HGDP00677,,
HGDP00576,,
HGDP00583,,
HGDP00588,,
HGDP00590,,
HGDP00595,,
HGDP00627,,
HGDP00634,,
HGDP00639,,
HGDP00641,,
HGDP00646,,
HGDP00608,,
HGDP00610,,
HGDP00615,,
HGDP00622,,
HGDP00557,,
HGDP00564,,
HGDP00571,,
HGDP00994,,
HGDP00999,,
HGDP01024,,
HGDP01029,,
HGDP00898,,
HGDP00901,,
HGDP00906,,
HGDP00913,,
HGDP00918,,
HGDP00920,,
HGDP00925,,
HGDP00963,,
HGDP00968,,
HGDP00970,,
HGDP00975,,
HGDP00766,,
HGDP00780,,
HGDP00797,,
HGDP00800,,
HGDP00805,,
HGDP00812,,
HGDP00817,,
HGDP00937,,
HGDP00944,,
HGDP00949,,
HGDP00747,,
HGDP00754,,
HGDP00759,,
HGDP00761,,
HGDP00879,,
HGDP00881,,
HGDP00886,,
HGDP00893,,
HGDP00843,,
HGDP00862,,
HGDP01074,,
HGDP01081,,
HGDP01086,,
HGDP01101,,
HGDP01149,,
HGDP01151,,
HGDP01031,,
HGDP01043,,
HGDP01050,,
HGDP01055,,
HGDP01062,,
HGDP01067,,
HGDP01276,,
HGDP01283,,
HGDP01288,,
HGDP01290,,
HGDP01295,,
HGDP01219,,
HGDP01221,,
HGDP01226,,
HGDP01233,,
HGDP01238,,
HGDP01245,,
HGDP01339,,
HGDP01341,,
HGDP01346,,
HGDP01353,,
HGDP01358,,
HGDP01360,,
HGDP01194,,
HGDP01202,,
HGDP01207,,
HGDP01214,,
HGDP01257,,
HGDP01264,,
HGDP01269,,
HGDP01271,,
HGDP01303,,
HGDP01310,,
HGDP01322,,
HGDP01327,,
HGDP01334,,
HGDP01156,,
HGDP01182,,
HGDP01187,,
CHI-007,,
HGDP00449,,
HGDP00019,,
Igor21,,
Utsa22,,
HGDP00533,,
HGDP00526,,
HGDP01036,,
HGDP01365,,
Sam02,,
HGDP01079,,
NOR111,,
HGDP00660,,
HGDP01396,,
HGDP01404,,
HGDP01411,,
HGDP01416,,
HGDP00090,,
HGDP00569,,
NA15761,,
YemeniteJew5433,,
HGDP01199,,
HGDP01168,,
HGDP00552,,
HGDP00956,,
armenia293,,
NA15728,,
K4,,
Bu16,,
HGDP01012,,
HGDP00987,,
HGDP00932,,
HGDP01315,,
HGDP01308,,
Dus22,,
Est400,,
HGDP01240,,
mixe0042,,
HGDP00216,,
HGDP01372,,
HGDP01377,,
HGDP01384,,
HGDP00982,,
HGDP01098,,
HGDP00160,,
Bishkek28440,,
HGDP01163,,
HGDP00951,,
HGDP00785,,
HGDP00855,,
Kusunda15,,
NA13607,,
HGDP00773,,
R3,,
NA12236,CEU,EUR
HGDP00456,,
GM19129,YRI,AFR
